platform,video_id,url,title,channel,channel_subscribers,published_at,hours_live,duration_seconds,views,likes,comments,engagement_rate_pct,views_per_hour,keyword_bucket
YouTube Shorts,eTCt8WHaGxw,https://www.youtube.com/shorts/eTCt8WHaGxw,Hardworking dog comedy video #viral#video #views #trending#shortsfeed #youtube #animals #dog#comedy,Yaduvanshi87,4260,2026-09-24T08:00:09Z,25.0,11,5043833,25396,2,0.504,201740.0,
YouTube Shorts,lmWqI48M74k,https://www.youtube.com/shorts/lmWqI48M74k,😭 बाज ने कबूतर को मार दिया 🥹 #kabootar #viral #trending #video #shortvideo #viralvideo ❤️,Salman R 2000,1720000,2026-09-23T12:30:22Z,44.5,58,6880802,58306,11,0.848,154631.6,
YouTube Shorts,B0zk6RwJTY0,https://www.youtube.com/shorts/B0zk6RwJTY0,Duggu Ne Bye Bye Kiya 🤣♥️👍👋 #shorts #trending #video,Pinki Prajapati,4590000,2026-09-24T03:30:08Z,29.5,34,3260195,24658,14,0.757,110507.9,
YouTube Shorts,AbswiGAZjyc,https://www.youtube.com/shorts/AbswiGAZjyc,Mamma bhoot 😂😂😂#funny #foryou #viral #shorts #ytshorts,Ajaad2437 shorts ,165000,2026-09-23T13:07:50Z,43.9,24,4819856,35167,36,0.73,109857.8,
YouTube Shorts,cxH-APN1iAY,https://www.youtube.com/shorts/cxH-APN1iAY,Papa ko le gaye doctor pas #familyvlog #familyshorts #shorts #trending #viral #dikshakidunia,Diksha Ki Dunia,2430000,2026-09-23T12:45:28Z,44.2,29,4709194,42143,434,0.904,106431.2,
YouTube Shorts,qsSTzV30VNE,https://www.youtube.com/shorts/qsSTzV30VNE,Chocolate 😂 #youtubeshorts #trending #viral #funny #funnyvideo #comedy #comedyshorts #shorts,Subhajit Singhania,175000,2026-09-23T19:50:34Z,37.2,9,3019612,11684,8,0.387,81256.7,
YouTube Shorts,4CI20DJRsuU,https://www.youtube.com/shorts/4CI20DJRsuU,her old dance era 🤌🏻😭#ruchikarathore #triggardinsaan #malhanfamily #shortvideo #dance,Laddu 🍒,345000,2026-09-24T06:00:05Z,27.0,16,1754875,18335,108,1.051,64988.7,
YouTube Shorts,lMarhEn1K5I,https://www.youtube.com/shorts/lMarhEn1K5I,I Was NOT Expecting This 😭 #diy #craft #bedazzling #shorts #youtubeshorts #viralshorts #trending,Makkhi Art & Craft,424000,2026-09-24T08:44:41Z,24.3,27,1243396,18233,103,1.475,51254.1,
YouTube Shorts,z29yrFBkL5s,https://www.youtube.com/shorts/z29yrFBkL5s,డేంజరస్ సఫారీ మూమెంట్.. గుండె నిబ్బరం ఉండాలి గురూ! 😱✨ #shorts #viralshorts #comedytv #reels, MANA COMEDY TV,276000,2026-09-24T05:45:04Z,27.3,31,1382888,12132,64,0.882,50742.5,
YouTube Shorts,wru7hAsLpss,https://www.youtube.com/shorts/wru7hAsLpss,Aaj to Mansi ki chori pakdi gayi #shorts #funny #prank #viral,Jagdish Comedian,23100000,2026-09-24T10:10:00Z,22.8,20,1116176,7172,4,0.643,48874.7,
YouTube Shorts,gL_1UIxDnko,https://www.youtube.com/shorts/gL_1UIxDnko,Showing Too Much Love Backfired 🤯💔 #Rm #jimin #jungkook #viralshorts #trendingshorts #shorts,Pramod Ke Facts,73200,2026-09-23T13:30:25Z,43.5,16,2056949,0,3,0.0,47289.2,
YouTube Shorts,S3Pt9UecPkI,https://www.youtube.com/shorts/S3Pt9UecPkI,2026 के Pro बच्चे🤪#funny #viral #shorts.,Riya Tandon,97400,2026-09-23T13:32:15Z,43.5,49,1851383,15937,4,0.861,42593.2,
YouTube Shorts,fNygylbbX_k,https://www.youtube.com/shorts/fNygylbbX_k,Saari duniya jalaa dunga 😭 #shorts #shortvideo #viralvideo #status #viralshorts #viral,Official Shahani,150000,2026-09-23T13:25:27Z,43.6,34,1822885,11449,1,0.628,41828.5,
YouTube Shorts,EZgxcSUUxyQ,https://www.youtube.com/shorts/EZgxcSUUxyQ,Have it your way pal 🍔 #food #restaurant #samalkhatib,Sam Alkhatib,2110000,2026-09-23T20:32:41Z,36.5,61,1444794,73066,516,5.093,39627.4,
YouTube Shorts,JoBEf7ALHEY,https://www.youtube.com/shorts/JoBEf7ALHEY,Top Learning Tools 🥰 for Tech Enthusiasts #shorts #shortsfeed #viralshorts 🔥🥰🙏,Shree Krish Singh2.0,246000,2026-09-23T09:25:13Z,47.6,61,1752506,30144,64,1.724,36829.8,
YouTube Shorts,zyYmoNOaars,https://www.youtube.com/shorts/zyYmoNOaars,❤️छवि छलिया कि मैंने जबसे निहारी❤️#cute#laddugopal#viral#shorts#trending#song 🙏🦚🌺,Sahil Sharma 07 ,74100,2026-09-23T09:32:31Z,47.5,10,1626626,10413,17,0.641,34272.0,
YouTube Shorts,SL5Wo6-yO5I,https://www.youtube.com/shorts/SL5Wo6-yO5I,#ganpatibappamorya #ganeshchaturthi #ganesha #ganeshutsav #viral #trending #shorts #youtubeshorts,Mazza Morya ,63900,2026-09-23T10:59:08Z,46.0,13,1556556,23707,41,1.526,33824.5,
YouTube Shorts,A17q8nWJt0Q,https://www.youtube.com/shorts/A17q8nWJt0Q,😂😂#viral #funnyvideo #shorts #viralvideo #trending #reels #video,R K Comedy,3920,2026-09-23T13:01:19Z,44.0,27,1479994,5753,3,0.389,33649.8,
YouTube Shorts,Xcbftzk0OXI,https://www.youtube.com/shorts/Xcbftzk0OXI,He Made The Ultimate Sacrifice 🥀 #shorts #roblox #viral,SomiooRants,97600,2026-09-23T18:12:44Z,38.8,36,1275959,25618,233,2.026,32892.4,
YouTube Shorts,n7-2kmQ-xBI,https://www.youtube.com/shorts/n7-2kmQ-xBI,Mammy Or Beti Ko Kyu pakda 🥺😒 Wooden Log Cabin in Forest 🪓🌲Survival House Step by Step #Viral #Funny,Kusud Facts,281000,2026-09-23T23:30:18Z,33.5,26,1079307,6087,3,0.564,32218.9,
YouTube Shorts,GGQNLu0Q4fk,https://www.youtube.com/shorts/GGQNLu0Q4fk,funny cutee babyy video #funny #comedy #cutebaby #viral #trending #shorts,Funny baby,14000,2026-09-24T03:30:15Z,29.5,51,944918,6502,23,0.691,32031.1,
YouTube Shorts,0wwv2rguEAI,https://www.youtube.com/shorts/0wwv2rguEAI,Seat to full hai 😂 #trending #reels #funny #comedy #shorts #viral #video #shortvideo #viralvideo,BM hungry ,27000,2026-09-23T13:30:31Z,43.5,30,1366845,0,5,0.0,31424.9,
YouTube Shorts,eD-gNZG5Xew,https://www.youtube.com/shorts/eD-gNZG5Xew,Dia bikin burrito Dorito di penjara! 😂🌯 #viral #shorts,landasan fakta,764000,2026-09-24T07:01:01Z,26.0,100,812948,12053,17,1.485,31282.6,
YouTube Shorts,HUhMWnKrtGk,https://www.youtube.com/shorts/HUhMWnKrtGk,Chewgum chabane wala dost 😂🔥#trendingshorts #youtubeshorts #viralshorts #funnyshorts #shorts,nuz up wale,70400,2026-09-24T00:30:09Z,32.5,30,974045,5947,2,0.611,29969.1,
YouTube Shorts,3TTtoGV2S98,https://www.youtube.com/shorts/3TTtoGV2S98,*Él marcó a la oveja 🐑 #shorts #trending #viralreels #viralshorts,Chica Buzz,466000,2026-09-23T15:00:28Z,42.0,14,1197308,82635,86,6.909,28509.8,
